Category:Universities_in_Brazil; 68517 350072 364185 408642 408645 408647 408648 408649 408650 408651 408652 408653 408654 408655 408656 408657 408658 408659 408660 408661 408662 408663 408664 408665 408666 408667 408668 408669 408670 408671 408672 408673 408674 408675 408676 408677 408678 408679 408680 408681 408682 408683 408684 408685 408686 408687 408688 408689 408690 408691 408692 408693 408694 408695 408696 408697 408698 408699 408700 408701 408702 408703 408705 408708 408710 408712 408713 408714 408719 444128 467262 616636 624065 691850 695177 695178 695191 742697 783067 831595 837145 904104 904291 995007 1231002 1231036 1231037 1231217 1231328 1249138 1249620 1360825 1361069 1361099 1371450 1423627 1443272 1553417 1624167 1678833 1678835 1678838 1678929 1679120
Category:Birds_of_Brazil; 35781 398739 429751 502086 505439 505441 505453 505458 505461 505463 505464 505488 505495 505498 505499 505511 505585 505609 505632 505636 505640 505728 505774 505785 505859 505860 505872 505894 505907 505908 505921 505941 505949 505966 505976 505977 505978 505979 505980 505981 506003 506004 506035 506039 506040 506042 506043 506045 506046 506047 506048 506049 506050 506051 506052 506053 506054 506056 506057 506058 506060 506061 506064 506065 506067 506068 506070 506071 506072 506073 506074 506075 506076 506077 506078 506079 506080 506081 506082 506083 506084 506085 506086 506087 506088 506089 506090 506091 506092 506093 506094 506095 506096 506097 506098 506099 506100 506101 506102 506103 506104 506105 506106 506107 506108 506109 506110 506111 506112 506113 506114 506115 506116 506117 506118 506119 506120 506121 506122 506123 506124 506125 506126 506127 506128 506129 506130 506131 506132 506133 506134 506135 506136 506137 506138 506139 506140 506141 506142 506143 506144 506145 506146 506147 506148 506149 506150 506151 506152 506153 506154 506155 506158 506159 506160 506162 506163 506164 506165 506166 506167 506168 506169 506186 506190 506192 506194 506195 506196 506199 506204 506205 506209 506229 506240 506241 506242 506243 506244 506245 506247 506248 506250 506255 506274 506277 506285 506287 506289 506299 506300 506301 506313 506314 506315 506316 506318 506320 506321 506322 506323 506324 506332 506334 506338 506340 506341 506347 506350 506351 506358 506361 506362 506363 506364 506365 506366 506368 506371 506372 506373 506377 506378 506379 506380 506383 506384 506385 506394 506395 506406 506408 506409 506410 506411 506412 506413 506414 506415 506416 506417 506419 506421 506422 506423 506430 506440 506441 506443 506444 506445 506446 506447 506448 506449 506450 506451 506452 506454 506456 506458 506460 506462 506463 506465 506466 506470 506472 506474 506475 506480 506481 506485 506487 506489 506490 506492 506493 506494 506495 506496 506497 506498 506499 506500 506501 506504 506528 506534 506535 506536 506541 506542 506545 506546 506552 506553 506557 506558 506559 506576 506578 506579 506582 506584 506585 506586 506588 506591 506593 506595 506600 506601 506607 506608 506609 506610 506842 508058 509006 509334 509336 509337 509338 509341 509344 509352 511166 511171 511172 511201 511226 511243 511254 511260 511264 511266 511272 511275 511277 511285 511288 511293 511294 511302 511304 511307 511319 511320 511326 511327 511328 511332 511338 511340 511349 511352 511354 511362 511363 511364 511365 511377 511379 511657 511758 511855 512421 512492 512508 512510 512518 512519 512520 512530 512545 512554 512556 512564 512566 512568 512706 512707 512723 512733 512800 512801 513634 513637 513639 513640 513641 513644 513645 513646 513648 513649 513650 513677 513679 513681 513683 513684 513686 513687 513689 513691 513693 513694 513716 513717 513718 513742 513745 513746 513760 513761 513762 513764 513765 513766 513767 513768 513770 513772 513775 513776 513777 513778 513779 513786 513796 513813 513815 513832 513840 513849 513852 513857 513860 513879 513890 513896 513904 513905 513914 513915 513919 513920 513922 513969 513970 513972 513974 513980 513981 513985 513989 514029 514031 514102 514606 514608 514619 514620 514621 514622 514623 514624 514625 514669 514934 514935 514936 514937 514944 514945 514947 515384 515386 515392 515393 515396 515398 515406 515576 515608 515784 515807 515958 515959 515960 515961 515963 515964 515965 515966 515967 515969 515989 516197 516235 516236 516237 516238 516245 516254 516255 516259 516260 516261 516305 516307 516308 620828 623533 623535 623574 623576 623577 624862 624878 640298 640300 833045 833979 834441 834486 834487 834488 834491 834493 834495 837786 837788 837808 837810 837832 837848 837851 837852 837853 837862 837865 837870 837879 837880 837896 837897 837898 837906 837907 837913 837935 837973 837993 838002 864011 884745 886584 886586 887701 888614 888616 888617 888618 888619 889451 889452 890012 890016 890018 890021 927922 927923 927924 927925 928214 936910 1251049 1273232 1273233 1278558 1437596 1442417 1442498 1442684 1443072 1443073 1443074 1473622 1473623 1473625 1473627 1578052 1690884 1703009 1774584
Category:Mammals_of_Brazil; 502175 503897 504192 504203 504223 504393 504521 504525 504855 504856 504857 504858 509360 511067 511069 511076 511080 511081 511083 511103 511104 511194 511453 511568 511619 511684 511871 511875 511876 511878 511883 511888 511895 511896 511897 511898 511899 511900 511906 511911 511913 511914 511915 511917 511918 511919 511923 511925 511926 511927 511929 511930 511931 511932 511934 511938 511940 511942 511945 511949 511952 511955 511956 511957 511958 511962 511964 511965 511966 511967 511968 511969 511970 511971 511972 511973 511974 511975 511976 511977 511978 511979 511980 511981 511982 511984 511985 511987 511988 511991 511992 511993 511994 511995 511996 511997 511998 511999 512002 512005 512012 512014 512015 512018 512019 512020 512022 512023 512024 512025 512029 512031 512035 512036 512039 512040 512041 512045 512046 512047 512049 512050 512051 512053 512059 512063 512064 512065 512070 512082 512083 512084 512085 512086 512088 512091 512095 512098 512099 512106 512108 512109 512110 513100 513102 513110 513111 513114 513121 513126 513127 513192 513235 513236 513237 513242 513246 514675 514969 514980 514992 515003 515041 515045 515048 515049 515053 515129 515227 515229 515295 515646 516021 516083 516108 516351 516352 516353 516364 615882 623520 626736 837730 838376 838377 893141 904121 904329 928207 943322 1273262 1351501 1437621 1442782 1442784 1442785 1442786 1442788 1442791 1442792 1442793 1442794 1442795 1442820 1442831 1442832 1442836 1442854 1442858 1442870 1442871 1442876 1442879 1442884 1442885 1443119 1446393 1478033 1478035 1585206 1696168
Category:Olympic_bronze_medalists_for_Brazil; 83012 83749 84240 84241 85423 85426 85427 88635 88794 88865 88924 89697 89851 89919 104218 486414 487769 487770 489216 489217 491213 491718 493128 554184 554185 554228 554270 554272 554832 554834 554861 554862 554863 554864 554865 554866 554867 554868 554892 554895 554982 554999 754386 754387 754389 754390 754391 754392 754393 754394 763873 895593 896134 945478 945674 945677 951346 1002850 1012500 1012569 1012694 1012715 1012719 1012772 1012838 1012840 1357452 1357458 1357464 1358744 1360129 1360429 1360431 1361390 1362013 1362276 1362341 1362422 1362493 1362581 1362781 1362932 1362935 1362963 1363177 1363214 1363344 1363389 1552471 1552505 1552540 1552635 1552637 1552665 1563484 1563537 1565795 1565804 1565807 1565811 1565848 1565852 1565855 1566450 1566451 1566462 1567201 1567703 1567704 1568058 1568686 1568765 1568925 1569154 1699117 1699118
Category:Brazilian_practitioners_of_Brazilian_Jiu-Jitsu; 247799 470443 528663 552319 757830 757831 757858 757925 757926 757928 757942 757949 757955 757963 757977 758008 758009 758010 758033 758045 758052 758068 758069 758172 758218 758252 758353 758388 758425 758426 758427 758428 758429 758430 758431 758432 758434 758435 758437 758438 758439 758440 758441 758442 758470 758499 758500 758508 758533 758579 758585 758593 758601 758602 758603 758604 758609 758616 758649 758672 758693 758715 758716 758725 758748 758761 758762 758800 758809 758816 758831 758883 758886 758887 758888 758921 758932 758938 758939 758952 758956 758973 758988 758989 758990 758991 758993 758994 758997 758998 758999 759001 759002 759003 759004 759005 759006 759007 759008 759009 759010 759011 759012 759013 759014 759015 759016 759017 759018 759019 759020 759021 759022 759023 759024 759025 759026 759027 759030 759031 759032 759034 759036 759037 759038 759039 759040 759041 759042 759043 759046 759050 759076 759100 759110 759111 759127 759142 759146 759175 759214 759307 759341 759344 759353 759370 759383 759414 759430 759439 759479 759480 759510 759511 759513 759519 759551 759589 759615 759631 759644 759687 759695 759701 759705 759710 759720 759734 759745 759751 759787 759798 759799 759804 759805 759807 759809 759814 759818 759823 759824 759834 759850 759851 759852 759861 759864 759870 759996 759999 763256 764811 764812 764867 1082041 1211551 1221922 1337377 1357643 1411724 1482539
Category:Brazilian_mixed_martial_artists; 247799 470444 470445 691927 756099 757830 757831 757920 757929 757955 757971 757978 758024 758033 758043 758045 758046 758052 758061 758068 758069 758172 758188 758218 758225 758244 758252 758254 758298 758299 758349 758353 758388 758419 758435 758439 758440 758441 758442 758446 758454 758460 758470 758499 758500 758533 758579 758584 758585 758601 758609 758610 758612 758617 758628 758631 758648 758649 758650 758672 758693 758708 758715 758716 758725 758748 758761 758762 758800 758809 758816 758831 758865 758883 758886 758887 758888 758891 758921 758932 758937 758938 758939 758952 758956 758973 758988 758989 758990 758991 758992 758993 758994 758997 758998 758999 759001 759002 759003 759004 759011 759014 759015 759017 759018 759019 759021 759022 759023 759024 759025 759026 759030 759031 759034 759036 759037 759038 759039 759040 759041 759042 759043 759046 759050 759053 759076 759100 759110 759111 759114 759127 759133 759142 759146 759152 759175 759214 759271 759287 759294 759307 759321 759341 759344 759353 759358 759370 759383 759414 759430 759439 759479 759480 759508 759510 759511 759513 759519 759551 759589 759615 759631 759644 759687 759695 759701 759705 759710 759720 759734 759745 759751 759776 759787 759798 759799 759804 759805 759807 759809 759814 759818 759823 759824 759834 759840 759848 759850 759851 759852 759870 759912 759985 760026 760047 760049 760062 763475 763476 763478 764811 764866 764867 1384647
Category:American_practitioners_of_Brazilian_Jiu-Jitsu; 232682 292781 405857 470359 528752 531157 531266 531636 531663 705575 744390 756718 757314 757495 757842 757875 757876 757927 757948 757977 758017 758019 758020 758022 758026 758027 758028 758029 758030 758034 758036 758042 758094 758095 758140 758155 758166 758216 758223 758241 758251 758294 758318 758331 758343 758360 758365 758386 758398 758399 758433 758443 758451 758497 758529 758621 758637 758641 758755 758808 758814 758819 758823 758860 758862 758867 758871 758885 758889 758900 758915 758916 758920 758927 758935 758936 758941 758947 758949 758996 759047 759160 759164 759170 759171 759192 759208 759211 759219 759236 759253 759270 759276 759277 759279 759298 759301 759306 759312 759313 759314 759322 759325 759332 759334 759336 759343 759345 759347 759368 759404 759406 759410 759421 759435 759437 759443 759448 759458 759460 759461 759472 759485 759486 759497 759500 759503 759510 759517 759523 759530 759548 759562 759566 759571 759574 759581 759583 759585 759593 759595 759596 759598 759600 759603 759617 759619 759621 759629 759638 759642 759643 759644 759645 759648 759649 759652 759654 759658 759674 759675 759677 759678 759681 759683 759684 759691 759693 759698 759708 759709 759711 759713 759714 759715 759717 759726 759730 759731 759741 759749 759750 759761 759763 759768 759785 759803 759815 759821 759828 759839 759841 759854 759867 759879 759880 759905 759994 760042 762188 763187 903938 952708 1030718 1058635 1060816 1061742 1062567 1164535 1174908 1176532 1227098 1250297 1381981
Category:Rivers_of_Amazonas_(Brazilian_state); 569679 838182 838183 838184 838185 838186 838187 838188 838189 838190 838191 838192 838193 838194 838195 838196 838197 838198 838199 838200 838201 838202 838203 838204 838205 838206 838207 838208 838209 838210 838211 838212 838213 838214 838215 838216 838217 838218 838219 838220 838221 838222 838223 838224 838225 838226 838227 838228 838229 838230 838231 838232 838233 838234 838235 838236 838237 838238 838239 838240 838241 838242 838243 838244 838245 838246 838247 838248 838249 838250 838251 838252 838253 838254 838255 838256 838257 838258 838259 838260 838261 838262 838263 838264 838265 838266 838267 838268 838269 838270 838271 838272 838273 838274 838275 838276 838277 838278 838279 838280 838281 838282 838283 838284 838285 838286 838287 838288 838289 838290 838291 838292 838293 838294 838295 838296 838297 838298 838299 838300 838301 838302 838303 838304 838305 838306 838307 838308 838309 838310 838311 838312 838313 838314 838315 838316 838317 838318 838319 838320 1002742 1002743 1357648 1447172 1447173 1556794 1556795 1556796 1556797 1556798 1556799 1556800 1556801 1556802 1556803
Category:Trees_of_Brazil; 8445 434210 726605 726614 726620 726789 726790 726864 726876 726979 727004 727017 727018 727021 727025 727027 727093 727259 738938 831053 832749 834163 840913 841423 841775 841776 841801 841804 841805 841806 841890 841968 842399 842427 842481 842496 842526 842560 842564 842584 842702 842703 842709 842741 842770 842774 842855 842905 843321 843464 843511 844987 844988 844993 845003 845005 845008 845013 845014 845020 845022 845024 845025 845026 845027 845028 845029 845033 845034 845042 845050 845052 845054 845055 845062 845063 845313 845314 845315 845316 845317 845318 845319 845321 845323 845324 845328 845329 845337 845341 845342 845348 845349 845350 845351 846095 846294 846399 846593 846660 846676 846725 847143 847303 847446 847447 847450 847456 847520 847584 850403 850755 850775 851283 861015 861512 861706 861749 861759 861768 861770 862254 862268 863275 883469 883829 884047 1451993 1650812
Category:Brazilian_racecar_drivers; 909861 909979 909991 909994 909998 910052 910117 910240 910241 910242 910359 910362 910647 910648 910778 910812 910822 910843 910845 910850 910854 910858 910860 910861 910894 910895 910898 910902 911062 911077 911284 911303 911305 911347 911350 911364 911385 911396 911399 911412 911422 911424 911439 911442 911488 911525 911538 911562 911569 911822 911874 911977 911989 911991 911999 912042 912067 912083 912114 912116 912124 912126 912127 912129 912130 912333 912334 912468 912476 912482 912508 912536 912542 912543 912545 912547 912586 912590 912621 912624 912628 912645 912710 912725 913621 913706 913862 913881 913895 913903 913907 913915 913919 913949 913955 913966 914096 914952 914954 914981 915059 915097 915100 915234 919691 920398 920805 920943 922185 922187 922188 1067652 1524547 1678817
